nik,nama,kabupaten,kecamatan,kelurahan,program
3522016210967922,Sari Junaedi,Kab. Bojonegoro,Bojonegoro,Kadipaten,BST (Bantuan Sosial Tunai)
3507024806763388,Dewi Budiman,Kab. Malang,Gondanglegi,Gondanglegi Wetan,Kemiskinan Ekstrem (2025)
3578034201891692,Suwarni Maulana,Kota Surabaya,Tambaksari,Gading,PKH Plus Lansia
3522031810766172,Suryo Nugroho,Kab. Bojonegoro,Balen,Sidomulyo,PKH Plus Lansia
3517020909648461,Fandi Basuki,Kab. Jombang,Perak,Tengaran,PBI-JKN (Penerima Bantuan Iuran JKN)
3515031701982714,Andi Hafid,Kab. Sidoarjo,Candi,Sugihwaras,BPNT (Bantuan Pangan Non Tunai)
3509036006703774,Nani Budiman,Kab. Jember,Sumbersari,Sumbersari,PBI-JKN (Penerima Bantuan Iuran JKN)
3578034708906733,Wiwik Cahyono,Kota Surabaya,Tambaksari,Pacarkeling,PKH (Program Keluarga Harapan)
3511012103709377,Sigit Pranoto,Kab. Bondowoso,Bondowoso,Blindungan,BPNT (Bantuan Pangan Non Tunai)
3507022007930306,Suryo Yulianto,Kab. Malang,Gondanglegi,Gondanglegi Wetan,PKH Plus Lansia
